'leafID','Arrangement','Structure','Attachments','Surface','Venation','Hairs'
1, 'Green Velvet', 'Alternate', 'Simple', 'Petiole', 'Smooth', 'Reticulate', 'Trichomes'
2, 'Silver Fern', 'Opposite', 'Compound', 'Petiole', 'Hairy', 'Parallel', 'Stellate'
3, 'Golden Glow', 'Whorled', 'Simple', 'Sessile', 'Waxy', 'Reticulate', 'Peltate'
4, 'Crimson Cascade', 'Alternate', 'Simple', 'Petiole', 'Smooth', 'Parallel', 'Scale-like'
5, 'Emerald Shimmer', 'Opposite', 'Compound', 'Petiole', 'Hairy', 'Reticulate', 'Trichomes'
6, 'Velvet Veil', 'Alternate', 'Simple', 'Petiole', 'Smooth', 'Parallel', 'Trichomes'
7, 'Sapphire Splendor', 'Opposite', 'Compound', 'Petiole', 'Waxy', 'Reticulate', 'Peltate'
8, 'Whispering Willow', 'Alternate', 'Simple', 'Sessile', 'Hairy', 'Parallel', 'Stellate'
9, 'Amber Aura', 'Opposite', 'Compound', 'Petiole', 'Smooth', 'Reticulate', 'Trichomes'
10, 'Ruby Rapture', 'Alternate', 'Compound', 'Petiole', 'Waxy', 'Parallel', 'Scale-like'
11, 'Tranquil Tropic', 'Opposite', 'Simple', 'Petiole', 'Hairy', 'Reticulate', 'Peltate'
12, 'Mystic Maple', 'Whorled', 'Compound', 'Petiole', 'Smooth', 'Reticulate', 'Trichomes'
13, 'Arctic Ash', 'Alternate', 'Simple', 'Sessile', 'Waxy', 'Parallel', 'Scale-like'
14, 'Celestial Cypress', 'Opposite', 'Compound', 'Petiole', 'Smooth', 'Reticulate', 'Stellate'
15, 'Oceanic Oasis', 'Alternate', 'Compound', 'Petiole', 'Hairy', 'Parallel', 'Trichomes'
16, 'Violet Vista', 'Opposite', 'Simple', 'Petiole', 'Waxy', 'Reticulate', 'Peltate'
17, 'Enchanted Elm', 'Whorled', 'Simple', 'Sessile', 'Smooth', 'Parallel', 'Stellate'
18, 'Midnight Moss', 'Alternate', 'Compound', 'Petiole', 'Hairy', 'Reticulate', 'Trichomes'
19, 'Luminous Lotus', 'Opposite', 'Simple', 'Petiole', 'Waxy', 'Parallel', 'Scale-like'
20, 'Serene Sequoia', 'Alternate', 'Compound', 'Sessile', 'Smooth', 'Reticulate', 'Stellate'